id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7316503197,portland,155000,2020.0,mercedes-benz,benz sprinter,new,6 cylinders,diesel,250.0,clean,automatic,W1W4EBVY6LT035971,4wd,full-size,van,blue,or
7313930415,las vegas,4000,2002.0,chevrolet,tahoe ls,,,gas,200000.0,clean,automatic,,,,,,nv
7313760615,boston,4600,2010.0,subaru,legacy outback,,,gas,182000.0,clean,automatic,,,,,,ma
7315029474,st cloud,600,2020.0,,Xx,,,other,12345.0,clean,other,,,,,,mn
7307661430,green bay,17495,2010.0,jeep,wrangler unlimited,,,gas,145151.0,clean,automatic,1J4BA6H10AL182105,4wd,,,white,wi
7315481732,las vegas,11500,2001.0,ram,2500,good,6 cylinders,diesel,195000.0,clean,automatic,,rwd,,truck,white,nv
7314420257,reno / tahoe,21952,2018.0,dodge,journey,,6 cylinders,gas,31923.0,clean,automatic,,4wd,mid-size,SUV,white,ca
7306191430,southern illinois,28999,1955.0,chevrolet,210,good,8 cylinders,gas,1232.0,clean,automatic,,rwd,full-size,sedan,orange,il
7315391287,boise,0,2017.0,ford,f-150 xlt crewcab 4x4,excellent,8 cylinders,gas,89465.0,clean,automatic,,4wd,full-size,pickup,white,id
7311622290,savannah / hinesville,6999,2014.0,kia,forte lx,,4 cylinders,gas,96826.0,clean,automatic,,,,,,ga
7305676700,springfield,15995,2006.0,chevrolet,silverado 2500hd ls,excellent,8 cylinders,diesel,188000.0,clean,automatic,,4wd,full-size,truck,red,mo
7304183138,great falls,7995,2013.0,chrysler,200 lx,,4 cylinders,gas,94165.0,clean,automatic,1C3CCBABXDN560699,fwd,,sedan,red,mt
7308243536,philadelphia,4250,2007.0,volvo,xc90,fair,6 cylinders,gas,139000.0,clean,automatic,,4wd,,SUV,black,pa
7314022809,"washington, DC",30000,2007.0,porsche,911 carrera s cabriolet,like new,6 cylinders,gas,123000.0,clean,manual,,rwd,full-size,convertible,red,dc
7314220554,chicago,9500,2006.0,bmw,530xi,like new,6 cylinders,gas,155000.0,clean,automatic,,4wd,full-size,sedan,black,il
7314438052,medford-ashland,1700,1994.0,ram,1500,good,8 cylinders,gas,235701.0,clean,automatic,IB7HFI6Y5RS534794,4wd,full-size,pickup,red,or
7315115908,charlotte,6400,2007.0,mercedes-benz,benz,like new,6 cylinders,gas,129987.0,clean,automatic,,4wd,,sedan,,nc
7313973835,boston,2500,1988.0,ford,,fair,8 cylinders,gas,240000.0,clean,automatic,,4wd,full-size,pickup,red,ma
7315784764,north jersey,36995,2017.0,,MASERATI LEVANTE,,,gas,58959.0,clean,automatic,ZN661XUAXHX215714,,,SUV,,nj
7311223032,baltimore,8675,2011.0,honda,odyssey ex,excellent,6 cylinders,gas,125508.0,clean,automatic,,fwd,full-size,van,black,md
7311484075,jackson,6995,2005.0,acura,tl,good,6 cylinders,gas,153975.0,clean,automatic,19UUA66285A075123,fwd,,sedan,grey,ms
7308316646,jersey shore,25990,2017.0,toyota,tacoma access cab sr,good,,gas,22820.0,clean,other,5TFRX5GN9HX090138,,,pickup,,nj
7305881511,knoxville,13983,2015.0,honda,civic,like new,4 cylinders,gas,70425.0,clean,automatic,,fwd,sub-compact,sedan,grey,tn
7301601192,santa barbara,17990,2010.0,lexus,is 250 sport convertible,good,6 cylinders,gas,73602.0,clean,other,JTHFF2C25A2510222,rwd,,convertible,,ca
7305033161,sarasota-bradenton,4300,2004.0,audi,a4,,6 cylinders,gas,73000.0,rebuilt,automatic,,4wd,,convertible,,fl
7305449433,pullman / moscow,1200,2003.0,,Chrylser Town and Country,fair,,gas,234638.0,clean,automatic,,fwd,,van,red,id
7306939733,salt lake city,19990,2008.0,ford,super duty f-350 srw,good,8 cylinders,gas,107040.0,clean,automatic,1FDWX31588ED44445,4wd,,,white,ut
7313063436,san antonio,2800,1948.0,,willys cj2a,,4 cylinders,gas,100000.0,missing,manual,,4wd,,convertible,,tx
7310746442,philadelphia,5900,2009.0,honda,civic,good,4 cylinders,gas,112000.0,clean,automatic,,fwd,full-size,sedan,blue,pa
7313980543,richmond,15000,2016.0,ford,econline e3,excellent,8 cylinders,gas,137615.0,clean,automatic,1FDWE3FS0GDC37656,4wd,full-size,truck,yellow,va
7316855792,southwest KS,29900,2012.0,toyota,fj cruiser,,,gas,106800.0,clean,automatic,,,,,,ks
7316164989,bozeman,27341,2013.0,ford,f-150,excellent,,gas,99768.0,clean,automatic,,4wd,,,,mt
7307307274,shreveport,6900,2011.0,mercury,grand marquis,good,,gas,79450.0,clean,automatic,,,mid-size,sedan,white,la
7307828778,baltimore,10995,2008.0,toyota,highlander,,6 cylinders,gas,165239.0,clean,automatic,JTEES43A982015698,4wd,,SUV,white,md
7303546428,norfolk / hampton roads,0,2003.0,chrysler,town & country,,6 cylinders,gas,312722.0,clean,automatic,2C8GP54L73R141667,fwd,,van,red,va
7311177383,north jersey,19500,2003.0,,Isuzu FRR,good,6 cylinders,diesel,214000.0,clean,automatic,,rwd,,truck,white,nj
7308261528,evansville,28590,2017.0,jeep,wrangler sport suv 2d,good,6 cylinders,gas,37218.0,clean,other,1C4GJWAG4HL572192,4wd,,other,,in
7314503037,memphis,32900,2019.0,ford,transit,like new,6 cylinders,gas,16524.0,clean,automatic,1FTYR1ZM7KKB21426,rwd,full-size,van,white,tn
7316580142,long island,11000,2006.0,infiniti,g35 coupe,excellent,6 cylinders,gas,49000.0,clean,manual,,rwd,,coupe,black,ny
7315105003,bellingham,519,2015.0,infiniti,qx80 7-passenger w/3rd,,8 cylinders,gas,33779.0,clean,automatic,JN8AZ2NE9F9084774,4wd,,SUV,,wa
7316416596,new york city,37990,2019.0,audi,a5 premium plus sedan 4d,good,,gas,9650.0,clean,other,WAUENCF57KA034801,,,sedan,,ny
7315709652,winston-salem,36990,2018.0,jeep,wrangler unlimited all new,good,,other,5933.0,clean,other,1C4HJXDN3JW287136,4wd,,other,,nc
7313981310,chico,44900,2018.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,20825.0,lien,automatic,,4wd,full-size,truck,grey,ca
7309774586,rochester,1900,1984.0,chevrolet,stepside,fair,8 cylinders,gas,9000000.0,clean,automatic,,rwd,full-size,pickup,blue,ny
7303297043,wausau,19250,2014.0,gmc,acadia,excellent,6 cylinders,gas,73422.0,rebuilt,automatic,,4wd,mid-size,SUV,white,wi
7315465437,detroit metro,13495,2015.0,honda,accord lx,excellent,4 cylinders,gas,105269.0,clean,automatic,1HGCR2F36FA263520,fwd,full-size,sedan,grey,mi
7306881138,champaign urbana,3000,2006.0,jeep,commander limited,fair,8 cylinders,gas,133000.0,clean,automatic,,4wd,,,green,il
7308716486,hartford,6495,2010.0,chrysler,town and country,,,gas,128140.0,clean,automatic,2A4RR2D13AR404469,fwd,full-size,other,red,ct
7308535322,santa barbara,2300,2015.0,nissan,nv200,,,gas,19956.0,clean,automatic,,,,,,ca
7312755365,san antonio,17993,2014.0,bmw,x3,,,gas,84546.0,clean,automatic,5UXWX9C55E0D38648,,,SUV,silver,tx
7310878775,southern illinois,31990,2018.0,audi,q5 premium sport utility 4d,good,,gas,19179.0,clean,other,WA1ANAFY7J2102310,,,other,,il
7313436399,long island,27500,2011.0,bmw,m3,,8 cylinders,gas,96169.0,clean,automatic,WBSKG9C54BE645278,rwd,,other,white,ny
7308240043,grand rapids,23332,2018.0,jeep,compass,,4 cylinders,gas,20005.0,clean,automatic,3C4NJDCB4JT253074,4wd,,SUV,white,mi
7311345182,galveston,35590,2020.0,acura,tlx 3.5 w/advance pkg,good,6 cylinders,gas,14628.0,clean,other,19UUB3F87LA001012,,,sedan,blue,tx
7315103667,eugene,10995,2010.0,toyota,highlander sport utility,good,6 cylinders,gas,208898.0,clean,automatic,5TDBK3EH0AS032397,4wd,full-size,SUV,white,or
7315432391,redding,0,2013.0,chevrolet,silverado 2500,,8 cylinders,diesel,97925.0,clean,automatic,1GC1KXC80DF206897,4wd,,truck,,ca
7304673530,terre haute,17590,2017.0,toyota,camry le sedan 4d,good,,other,41606.0,clean,other,4T1BF1FKXHU325213,fwd,,sedan,,in
7309753122,finger lakes,19995,2011.0,chevrolet,silverado 1500,,,other,115876.0,clean,automatic,3GCPKSE30BG167609,,,,,ny
7316398884,madison,35990,2019.0,mini,convertible cooper s 2d,good,,gas,9508.0,clean,other,WMWWG9C51K3E40943,fwd,,other,blue,wi
7312455996,north jersey,59999,2015.0,mercedes-benz,s-class,,,gas,39500.0,clean,automatic,WDDXJ8FBXFA007016,,full-size,coupe,black,nj
7311257417,pueblo,27590,2018.0,audi,q3 sport premium utility 4d,good,,gas,11260.0,clean,other,WA1BCCFS9JR025027,fwd,,other,red,co
7309437279,buffalo,6300,2008.0,kia,sportage,like new,4 cylinders,gas,59000.0,clean,automatic,,fwd,mid-size,SUV,black,ny
7313298092,albuquerque,24990,2017.0,volvo,xc60 t5 dynamic sport,good,,gas,42421.0,clean,other,YV440MRR1H2225566,,,SUV,brown,nm
